sample_id,split,label,uci_row_number,duplicate_type,cross_split_duplicate,exact_cluster_ids,near_pair_ids,n_exact_duplicate_clusters,n_exact_duplicate_partner_samples,n_near_reviewed_accepted_pairs,n_cross_split_exact_partner_samples,n_cross_split_near_reviewed_accepted_pairs,partner_ids,cross_split_partner_ids,review_categories,max_near_similarity,text
H0581,heldout,ham,2945,exact,False,E0219,,1,2,0,0,0,H0477|H0701,,,,No message..no responce..what happend?
H0586,heldout,spam,2960,exact,False,E0089,,1,1,0,0,0,H0159,,,,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
H0590,heldout,ham,2992,exact,False,E0098,,1,1,0,0,0,H0183,,,,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
H0605,heldout,ham,3102,exact,False,E0200,,1,2,0,0,0,H0423|H0933,,,,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
H0618,heldout,spam,3156,exact,False,E0208,,1,1,0,0,0,H0457,,,,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
H0624,heldout,spam,3190,exact,False,E0245,,1,1,0,0,0,H0983,,,,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
H0627,heldout,ham,3212,exact,False,E0246,,1,2,0,0,0,H0648|H0883,,,,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
H0648,heldout,ham,3325,exact,False,E0246,,1,2,0,0,0,H0627|H0883,,,,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
H0660,heldout,ham,3395,exact,False,E0240,,1,1,0,0,0,H0551,,,,Ok thanx...
H0664,heldout,ham,3412,exact,False,E0251,,1,1,0,0,0,H0698,,,,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
H0698,heldout,ham,3611,exact,False,E0251,,1,1,0,0,0,H0664,,,,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
H0701,heldout,ham,3626,exact,False,E0219,,1,2,0,0,0,H0477|H0581,,,,No message..no responce..what happend?
H0702,heldout,ham,3630,exact,False,E0110,,1,1,0,0,0,H0204,,,,Meeting u is my work. . . Tel me when shall i do my work tomorrow
H0706,heldout,ham,3650,exact,False,E0171,,1,1,0,0,0,H0344,,,,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
H0712,heldout,ham,3662,exact,False,E0263,,1,1,0,0,0,H1039,,,,I will reach ur home in  &lt;#&gt;  minutes
H0717,heldout,ham,3682,exact,False,E0047,,1,11,0,0,0,H0049|H0147|H0252|H0347|H0387|H0459|H0518|H0791|H0923|H0979|H1079,,,,I cant pick the phone right now. Pls send a message
H0732,heldout,ham,3758,exact,False,E0034,,1,1,0,0,0,H0038,,,,Yes:)here tv is always available in work place..
H0735,heldout,spam,3779,exact,False,E0266,,1,1,0,0,0,H0912,,,,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876"
H0749,heldout,ham,3835,exact,False,E0077,,1,2,0,0,0,H0117|H0395,,,,I had askd u a question some hours before. Its answer
H0754,heldout,ham,3850,exact,False,E0270,,1,1,0,0,0,H0763,,,,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
H0763,heldout,ham,3883,exact,False,E0270,,1,1,0,0,0,H0754,,,,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
H0769,heldout,ham,3900,exact,False,E0124,,1,2,0,0,0,H0232|H1089,,,,Otherwise had part time job na-tuition..
H0780,heldout,ham,3967,exact,False,E0062,,1,2,0,0,0,H0086|H0460,,,,Love you aathi..love u lot..
H0791,heldout,ham,4041,exact,False,E0047,,1,11,0,0,0,H0049|H0147|H0252|H0347|H0387|H0459|H0518|H0717|H0923|H0979|H1079,,,,I cant pick the phone right now. Pls send a message
H0822,heldout,ham,4202,exact,False,E0172,,1,1,0,0,0,H0346,,,,I will come tomorrow di
H0829,heldout,spam,4238,exact,False,E0199,,1,1,0,0,0,H0422,,,,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
H0834,heldout,ham,4261,exact,False,E0207,,1,2,0,0,0,H0455|H0871,,,,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
H0849,heldout,ham,4326,exact,False,E0120,,1,1,0,0,0,H0224,,,,I am not having her number sir
H0871,heldout,ham,4415,exact,False,E0207,,1,2,0,0,0,H0455|H0834,,,,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
H0872,heldout,ham,4422,exact,False,E0085,,1,1,0,0,0,H0154,,,,Ok i msg u b4 i leave my house.
H0881,heldout,ham,4457,exact,False,E0142,,1,2,0,0,0,H0270|H1054,,,,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
H0883,heldout,ham,4469,exact,False,E0246,,1,2,0,0,0,H0627|H0648,,,,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
H0911,heldout,spam,4585,exact,False,E0074,,1,1,0,0,0,H0109,,,,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
H0912,heldout,spam,4588,exact,False,E0266,,1,1,0,0,0,H0735,,,,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876"
H0918,heldout,spam,4629,exact,False,E0018,,1,1,0,0,0,H0014,,,,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
H0923,heldout,ham,4661,exact,False,E0047,,1,11,0,0,0,H0049|H0147|H0252|H0347|H0387|H0459|H0518|H0717|H0791|H0979|H1079,,,,I cant pick the phone right now. Pls send a message
H0931,heldout,ham,4686,exact,False,E0044,,1,1,0,0,0,H0048,,,,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
H0933,heldout,ham,4695,exact,False,E0200,,1,2,0,0,0,H0423|H0605,,,,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
H0949,heldout,ham,4774,exact,False,E0218,,1,1,0,0,0,H0475,,,,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
H0975,heldout,ham,4885,exact,False,E0035,,1,2,0,0,0,H0040|H0223,,,,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
H0977,heldout,ham,4891,exact,False,E0241,,1,1,0,0,0,H0556,,,,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
H0979,heldout,ham,4899,exact,False,E0047,,1,11,0,0,0,H0049|H0147|H0252|H0347|H0387|H0459|H0518|H0717|H0791|H0923|H1079,,,,I cant pick the phone right now. Pls send a message
H0983,heldout,spam,4919,exact,False,E0245,,1,1,0,0,0,H0624,,,,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
H0987,heldout,spam,4949,exact,False,E0194,,1,1,0,0,0,H0403,,,,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!
H0990,heldout,ham,4979,exact,False,E0204,,1,1,0,0,0,H0439,,,,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP"""
H0996,heldout,ham,5009,exact,False,E0286,,1,1,0,0,0,H1035,,,,Oh k. . I will come tomorrow
H1010,heldout,spam,5056,exact,False,E0140,,1,1,0,0,0,H0268,,,,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
H1033,heldout,spam,5167,exact,False,E0227,,1,1,0,0,0,H0508,,,,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
H1035,heldout,ham,5174,exact,False,E0286,,1,1,0,0,0,H0996,,,,Oh k. . I will come tomorrow
H1039,heldout,ham,5209,exact,False,E0263,,1,1,0,0,0,H0712,,,,I will reach ur home in  &lt;#&gt;  minutes
H1042,heldout,ham,5228,exact,False,E0017,,1,1,0,0,0,H0013,,,,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
H1054,heldout,ham,5267,exact,False,E0142,,1,2,0,0,0,H0270|H0881,,,,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
H1061,heldout,ham,5287,exact,False,E0182,,1,1,0,0,0,H0359,,,,Sent me ur email id soon
H1079,heldout,ham,5378,exact,False,E0047,,1,11,0,0,0,H0049|H0147|H0252|H0347|H0387|H0459|H0518|H0717|H0791|H0923|H0979,,,,I cant pick the phone right now. Pls send a message
H1089,heldout,ham,5428,exact,False,E0124,,1,2,0,0,0,H0232|H0769,,,,Otherwise had part time job na-tuition..
T0003,train,spam,3,exact,False,E0001,,1,1,0,0,0,T0942,,,,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
T0008,train,ham,8,exact,False,E0002,,1,2,0,0,0,T0089|T0131,,,,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
T0009,train,spam,9,exact,False,E0003,,1,1,0,0,0,T3446,,,,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
T0010,train,spam,10,exact,False,E0004,,1,1,0,0,0,T3348,,,,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
T0012,train,spam,12,exact,False,E0005,,1,1,0,0,0,T2597,,,,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
T0013,train,spam,13,exact,False,E0006,,1,1,0,0,0,T4227,,,,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
T0039,train,ham,46,exact,False,E0007,,1,2,0,0,0,T0271|T1590,,,,No calls..messages..missed calls
T0049,train,spam,57,exact,False,E0008,,1,2,0,0,0,T0401|T1838,,,,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
T0054,train,ham,63,exact,False,E0010,,1,1,0,0,0,T4198,,,,Its a part of checking IQ
T0057,train,spam,66,exact_and_near_reviewed_accepted,False,E0011,N0004,1,1,1,0,0,T2741|T2757,,same_spam_campaign_template,0.9678715378335468,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
T0058,train,spam,68,exact,False,E0013,,1,1,0,0,0,T3573,,,,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
T0065,train,ham,77,near_reviewed_accepted,False,,N0007,0,0,1,0,0,T1123,,embedded_or_transcript_variant,1.0,Thats cool. i am a gentleman and will treat you with dignity and respect.
T0069,train,ham,81,exact,False,E0014,,1,29,0,0,0,T0188|T0283|T0367|T0569|T0623|T0915|T0933|T1194|T1277|T1526|T1586|T1591|T1911|T1965|T2024|T2028|T2029|T2128|T2699|T2714|T2850|T2900|T3321|T3358|T3373|T4158|T4338|T4366|T4448,,,,"Sorry, I'll call later"
T0072,train,ham,84,exact,False,E0015,,1,2,0,0,0,T0538|T1883,,,,You will be in the place of that man
T0074,train,ham,86,exact,False,E0016,,1,1,0,0,0,T1011,,,,"I call you later, don't have network. If urgnt, sms me."
T0089,train,ham,104,exact,False,E0002,,1,2,0,0,0,T0008|T0131,,,,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
T0098,train,spam,115,exact,False,E0020,,1,1,0,0,0,T0462,,,,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
T0099,train,ham,117,exact,False,E0021,,1,2,0,0,0,T0176|T0916,,,,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
T0103,train,spam,121,exact,False,E0022,,1,1,0,0,0,T1681,,,,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
T0115,train,spam,135,exact,False,E0023,,1,1,0,0,0,T1357,,,,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
T0116,train,spam,136,near_reviewed_accepted,False,,N0015,0,0,1,0,0,T0391,,same_spam_campaign_template,0.9291875082750162,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
T0118,train,ham,139,exact,False,E0024,,1,2,0,0,0,T3282|T4074,,,,No no. I will check all rooms befor activities
T0131,train,ham,155,exact,False,E0002,,1,2,0,0,0,T0008|T0089,,,,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
T0136,train,spam,161,exact,False,E0025,,1,1,0,0,0,T0994,,,,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
T0143,train,spam,168,near_reviewed_accepted,False,,N0020,0,0,1,0,0,T3068,,same_spam_campaign_template,0.9562864081346536,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
T0145,train,ham,171,exact,False,E0026,,1,1,0,0,0,T1574,,,,Yes :)it completely in out of form:)clark also utter waste.
T0155,train,ham,181,exact,False,E0027,,1,2,0,0,0,T2126|T3043,,,,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
T0161,train,spam,189,exact,False,E0028,,1,3,0,0,0,T0811|T3230|T3252,,,,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
T0166,train,ham,196,exact,False,E0029,,1,1,0,0,0,T1893,,,,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
T0167,train,ham,198,exact,False,E0031,,1,2,0,0,0,T0535|T3725,,,,Did u got that persons story
T0173,train,ham,204,exact,False,E0032,,1,1,0,0,0,T1179,,,,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
T0176,train,ham,208,exact,False,E0021,,1,2,0,0,0,T0099|T0916,,,,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
T0179,train,ham,211,near_reviewed_accepted,False,,N0024,0,0,1,0,0,T2969,,minor_personalization_change,0.9422125679254204,Both :) i shoot big loads so get ready!
T0185,train,ham,219,exact,False,E0033,,1,1,0,0,0,T0843,,,,Easy ah?sen got selected means its good..
T0186,train,ham,220,near_reviewed_accepted,False,,N0025,0,0,1,0,0,T4184,,embedded_or_transcript_variant,0.99042407218492,I have to take exam with march 3
T0188,train,ham,224,exact,False,E0014,,1,29,0,0,0,T0069|T0283|T0367|T0569|T0623|T0915|T0933|T1194|T1277|T1526|T1586|T1591|T1911|T1965|T2024|T2028|T2029|T2128|T2699|T2714|T2850|T2900|T3321|T3358|T3373|T4158|T4338|T4366|T4448,,,,"Sorry, I'll call later"
T0190,train,spam,226,near_reviewed_accepted,False,,N0026|N0027,0,0,2,0,0,T1109|T3873,,same_spam_campaign_template,0.9736344741014142,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
T0209,train,spam,251,exact,False,E0037,,1,1,0,0,0,T0296,,,,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
T0210,train,ham,252,exact,False,E0038,,1,1,0,0,0,T3585,,,,Ranjith cal drpd Deeraj and deepak 5min hold
T0211,train,ham,253,exact,False,E0039,,1,3,0,0,0,T1136|T1214|T2184,,,,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
T0212,train,ham,254,exact,False,E0040,,1,1,0,0,0,T3312,,,,What you doing?how are you?
T0220,train,ham,262,exact,False,E0041,,1,1,0,0,0,T4377,,,,Yup
T0229,train,ham,273,near_reviewed_accepted,False,,N0035|N0036|N0037,0,0,3,0,0,T1041|T2807|T3496,,same_forwarded_or_template_ham,0.9641826019661852,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
T0230,train,spam,274,exact,False,E0042,,1,2,0,0,0,T1506|T3459,,,,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
T0238,train,ham,285,exact,False,E0043,,1,2,0,0,0,T1877|T3415,,,,Okie...
T0247,train,ham,295,exact,False,E0045,,1,2,0,0,0,T0781|T2204,,,,Are you this much buzy
T0251,train,ham,299,exact,False,E0046,,1,1,0,0,0,T3463,,,,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
T0259,train,ham,312,exact,False,E0048,,1,2,0,0,0,T1265|T3145,,,,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
T0271,train,ham,327,exact,False,E0007,,1,2,0,0,0,T0039|T1590,,,,No calls..messages..missed calls
T0277,train,spam,334,near_reviewed_accepted,False,,N0064,0,0,1,0,0,T4166,,same_spam_campaign_template,0.97772899537257,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
T0279,train,spam,336,near_reviewed_accepted,False,,N0065,0,0,1,0,0,T1948,,same_spam_campaign_template,1.0000000000000009,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
T0282,train,ham,339,exact,False,E0050,,1,2,0,0,0,T0628|T4432,,,,Just sleeping..and surfing
T0283,train,ham,340,exact,False,E0014,,1,29,0,0,0,T0069|T0188|T0367|T0569|T0623|T0915|T0933|T1194|T1277|T1526|T1586|T1591|T1911|T1965|T2024|T2028|T2029|T2128|T2699|T2714|T2850|T2900|T3321|T3358|T3373|T4158|T4338|T4366|T4448,,,,"Sorry, I'll call later"
T0289,train,ham,347,exact,False,E0051,,1,1,0,0,0,T0437,,,,Gudnite....tc...practice going on
T0293,train,ham,354,exact,False,E0052,,1,1,0,0,0,T2548,,,,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
T0296,train,spam,358,exact,False,E0037,,1,1,0,0,0,T0209,,,,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
T0317,train,spam,386,exact,False,E0053,,1,1,0,0,0,T3378,,,,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
T0338,train,ham,411,exact,False,E0055,,1,1,0,0,0,T0922,,,,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
T0342,train,ham,417,exact,False,E0056,,1,1,0,0,0,T2194,,,,Whatsup there. Dont u want to sleep
T0346,train,spam,421,near_reviewed_accepted,False,,N0072,0,0,1,0,0,T2281,,same_spam_campaign_template,1.0,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
T0348,train,spam,423,near_reviewed_accepted,False,,N0073,0,0,1,0,0,T1398,,same_spam_campaign_template,0.9410141865322492,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
T0350,train,spam,425,near_reviewed_accepted,False,,N0077|N0079,0,0,2,0,0,T2338|T4223,,same_spam_campaign_template,1.0000000000000002,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
T0352,train,ham,428,exact,False,E0057,,1,2,0,0,0,T2293|T2804,,,,aathi..where are you dear..
T0355,train,ham,431,exact,False,E0058,,1,2,0,0,0,T1588|T4083,,,,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
T0356,train,spam,434,exact,False,E0059,,1,1,0,0,0,T3354,,,,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
T0364,train,ham,442,exact,False,E0060,,1,1,0,0,0,T0812,,,,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
T0367,train,ham,445,exact,False,E0014,,1,29,0,0,0,T0069|T0188|T0283|T0569|T0623|T0915|T0933|T1194|T1277|T1526|T1586|T1591|T1911|T1965|T2024|T2028|T2029|T2128|T2699|T2714|T2850|T2900|T3321|T3358|T3373|T4158|T4338|T4366|T4448,,,,"Sorry, I'll call later"
T0374,train,spam,456,exact,False,E0061,,1,2,0,0,0,T1429|T2420,,,,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
T0383,train,ham,466,near_reviewed_accepted,False,,N0081,0,0,1,0,0,T1991,,minor_personalization_change,0.9260451951154054,Ok i am on the way to railway
T0388,train,spam,472,near_reviewed_accepted,False,,N0082,0,0,1,0,0,T3131,,same_spam_campaign_template,1.000000000000001,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
T0391,train,spam,475,near_reviewed_accepted,False,,N0015,0,0,1,0,0,T0116,,same_spam_campaign_template,0.9291875082750162,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p
T0398,train,spam,488,exact,False,E0063,,1,1,0,0,0,T2670,,,,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
T0401,train,spam,493,exact,False,E0008,,1,2,0,0,0,T0049|T1838,,,,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
T0402,train,ham,494,exact,False,E0064,,1,1,0,0,0,T2340,,,,"Sorry,in meeting I'll call later"
T0410,train,ham,502,exact,False,E0065,,1,2,0,0,0,T1173|T1379,,,,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
T0413,train,spam,506,exact,False,E0066,,1,1,0,0,0,T1703,,,,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
T0415,train,ham,511,exact,False,E0067,,1,3,0,0,0,T0634|T1000|T4196,,,,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
T0416,train,ham,513,exact,False,E0068,,1,2,0,0,0,T1774|T4187,,,,Prabha..i'm soryda..realy..frm heart i'm sory
T0419,train,spam,516,near_reviewed_accepted,False,,N0083|N0084,0,0,2,0,0,T2124|T3923,,same_spam_campaign_template,1.0,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
T0426,train,ham,523,exact,False,E0069,,1,1,0,0,0,T1598,,,,Shall i come to get pickle
T0429,train,spam,526,near_reviewed_accepted,False,,N0085,0,0,1,0,0,T3764,,same_spam_campaign_template,0.9848624768617203,"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
T0431,train,spam,528,exact,False,E0070,,1,1,0,0,0,T0688,,,,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
T0436,train,ham,533,exact,False,E0071,,1,2,0,0,0,T2488|T4381,,,,What Today-sunday..sunday is holiday..so no work..
T0437,train,ham,534,exact,False,E0051,,1,1,0,0,0,T0289,,,,Gudnite....tc...practice going on
T0442,train,ham,540,exact,False,E0072,,1,2,0,0,0,T1012|T3858,,,,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
T0462,train,spam,565,exact,False,E0020,,1,1,0,0,0,T0098,,,,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm 
T0483,train,ham,591,exact,False,E0073,,1,2,0,0,0,T2734|T3715,,,,"I'm in a meeting, call me later at"
